name,latitude,longitude
Begur PS,12.8782620001631,77.6243380001586
Hulimavu PS,12.8766460003129,77.6000710004058
Mico Layout PS,12.9086119998238,77.610659000147
Vidyaranyapura PS,13.0839867258753,77.5643861813388
Madiwala PS,12.9209999998742,77.620667999617
Bommanahalli PS,12.9106199997205,77.6249800003253
Mahalakshmipuram PS,13.0027389161188,77.5473078440129
Shankarpura PS,12.9536079559543,77.5699948247066
Suddaguntepalya PS,12.9257789780078,77.6077477934414
ISD PS,12.9693319402999,77.6167567858431
Bengaluru CEN Crime PS,12.9898319905977,77.5916650107377
Central CEN Crime PS,12.9667990246362,77.5871719906891
East CEN Crime PS,12.9878455956193,77.603634427068
North CEN Crime PS,13.0180495928218,77.5584169553286
NorthEast CEN Crime PS,13.0568918670573,77.5985408010627
South CEN Crime PS,12.9364239699816,77.5792168169108
SouthEast CEN Crime PS,12.9411769638892,77.6214107811294
West CEN Crime PS,12.9854783207063,77.5425355880706
Whitefield CEN Crime PS,12.9754099257775,77.7511256717663
Govindapura PS,13.0344587360155,77.619463595785
Govindaraja Nagar PS,12.972337140279,77.5292191043584
Cyber Crime Police Station,12.9821582373495,77.5862511278321
Byadarahalli PS,12.9869611703651,77.4913220422091
East Zone Women PS,12.9880379848679,77.6037380166751
