latitude,longitude
12.9251867,77.6374415
12.9251809,77.6374334
12.924943,77.6337129
12.9249547,77.6337243
12.9249652,77.6337089
12.9249501,77.6336995
12.9249064,77.6334648
12.9172216,77.6231235
12.9275886,77.621085
12.9276984,77.6160774
12.9316654,77.6139919
12.9210742,77.6657076
13.0103497,77.5498731
13.0103693,77.5498758
13.0110943,77.5505455
13.0110977,77.5505503
12.9712907,77.5869767
12.9743383,77.5714387
12.9746859,77.5705797
12.9640145,77.6009631
12.9640341,77.6009638
12.9653188,77.6009464
12.965322,77.6009705
12.9048804,77.6625936
13.0042899,77.6185611
13.0040724,77.6184923
13.0193324,77.6335714
13.0199864,77.6337565
13.0196595,77.6336354
12.9771564,77.5912996
12.9703788,77.6103339
12.9703982,77.6103105
12.977343,77.5911572
13.0205957,77.6433155
13.0149046,77.6326747
13.0192934,77.6339355
13.0202791,77.6338209
13.0024393,77.6149261
12.9704023,77.610292
13.002725,77.6610961
13.0046333,77.6187043
13.003426,77.6169051
13.0033676,77.6168795
13.00336,77.6168807
13.0037834,77.6164217
13.0037435,77.6165215
13.0037697,77.6164559
13.003753,77.6164977
13.0046949,77.6158257
13.0036057,77.6168059
12.9873164,77.5192764
12.9720761,77.5127292
12.9518852,77.5157694
12.9380479,77.50954
12.9990532,77.5418499
12.9994485,77.5411458
12.9994597,77.5410702
12.9994708,77.541082
13.000849,77.5360003
13.0008637,77.5360161
13.0124181,77.5536945
13.0123992,77.5536852
12.9829461,77.6129067
12.9829082,77.6128993
12.9679313,77.6061901
12.9728092,77.6032235
12.9858986,77.5894947
12.9847499,77.5885163
12.9839067,77.5877526
12.9888284,77.5780973
13.0159023,77.5637676
12.9765495,77.5924002
12.9923155,77.5713743
12.9728877,77.5900626
12.9682887,77.5888851
12.9683933,77.588637
12.9710646,77.5889575
12.9738404,77.5884533
12.9736234,77.5887564
12.9761875,77.5905776
12.9756778,77.5901672
12.9754805,77.5916478
12.9763469,77.5932866
12.9822568,77.5376687
12.9822434,77.537667
12.9746846,77.5933658
12.9747068,77.5933711
12.9762842,77.5946036
12.9749966,77.5938692
12.974995,77.5938667
12.9751273,77.5921122
13.0034875,77.5473444
13.0034804,77.5473297
13.030637,77.575525
13.030637,77.5755371
12.9232865,77.499982
12.9232901,77.4999863
12.9735163,77.6109228
12.9735267,77.6109222
12.9764211,77.601799
12.9764182,77.6018073
12.9828373,77.5970008
13.0030399,77.5485276
13.0030474,77.5485303
12.9705317,77.6387648
12.9705356,77.6387642
12.9705366,77.6387702
13.0016408,77.5487586
13.0016441,77.548769
13.0016549,77.5487663
12.949568,77.5896343
12.9495693,77.5896281
12.9599832,77.5935327
13.047401,77.6287159
13.0068909,77.5484825
13.0068908,77.5484849
13.0077028,77.5485775
13.0077026,77.5485799
13.0148939,77.5795806
13.0385788,77.5890823
12.9765715,77.590831
12.9977644,77.5503515
12.9977742,77.5503585
13.0004559,77.5504981
13.0004577,77.5504941
13.0016835,77.5502962
13.0016923,77.5502945
13.0017015,77.5502936
12.9858956,77.5564449
12.9858974,77.5564488
12.9858979,77.5564458
12.9670551,77.6140769
12.9670586,77.6140851
12.9670616,77.614078
13.1997124,77.7099665
13.1988941,77.7110639
13.1992837,77.7098268
13.1995271,77.709931
13.1988826,77.7110134
13.1993144,77.7101816
13.1995257,77.709967
13.1997885,77.7107411
13.1998005,77.7106771
13.1998233,77.7106897
12.8419224,77.6755652
12.8464838,77.6713626
12.9256305,77.6199608
12.9343248,77.6234838
12.9256242,77.6200082
12.8418077,77.6753948
12.8459402,77.6718075
12.8418562,77.6754852
12.9963416,77.6170288
12.8462191,77.671745
13.0275518,77.5875247
13.0275074,77.5877212
13.0276902,77.5875521
13.0276614,77.5877477
13.0275463,77.5875364
13.1997686,77.7100172
13.1333261,77.6667685
13.1334467,77.6667743
13.1934241,77.6500175
13.0034799,77.6213312
13.0249727,77.5929397
13.0249728,77.5929255
13.016964,77.589622
13.0002249,77.5841173
12.9923426,77.5827689
12.9923181,77.5829004
12.9924174,77.5827099
12.9928633,77.5836205
13.1079489,77.5751473
13.1091914,77.5765855
13.0352535,77.590211
13.0335448,77.5883828
12.9658478,77.6094192
13.0350192,77.5906766
12.8402245,77.6770593
12.9737616,77.6139426
12.9733626,77.6200295
13.0290931,77.5864523
13.0291027,77.5864282
13.0290986,77.5864384
12.9991734,77.600161
12.9978312,77.6050344
12.9978312,77.6050344
12.9995835,77.6067154
12.9978312,77.6050344
12.9995835,77.6067154
12.9995835,77.6067154
13.0223803,77.6410652
13.0223803,77.6410652
13.022381,77.6410668
13.0223803,77.6410652
13.0238096,77.6411736
13.0238096,77.6411736
13.0238096,77.6411736
13.022192,77.6417748
13.022192,77.6417748
13.022192,77.6417748
13.0092866,77.6432669
13.0114884,77.6429317
13.0022351,77.6334824
13.0175044,77.6431885
13.0124531,77.5539452
13.012455,77.5539389
13.0124584,77.5539437
13.0116213,77.5514679
13.0116247,77.5514727
13.0111526,77.5506281
13.0038375,77.5483763
13.0038373,77.5483899
13.0013411,77.5479315
13.0013444,77.5479446
13.0435188,77.6001055
13.0435299,77.6000834
13.0378112,77.5895168
13.0286784,77.586329
13.0255975,77.5854371
13.0226837,77.5846285
13.0221572,77.5845574
13.0564992,77.6445517
13.0561961,77.6446214
13.0276988,77.6325066
13.0314784,77.6302059
13.0530854,77.6315752
13.0559479,77.6326702
12.9628118,77.7015186
12.993391,77.5716249
12.993391,77.5716182
12.9933832,77.5716181
13.0052614,77.5504538
13.0052712,77.5504444
13.0052594,77.5504383
12.9794729,77.6140228
12.9828589,77.6115438
12.9812136,77.6013809
12.9831516,77.610729
12.9832516,77.6101457
12.9839563,77.6081216
12.9856725,77.605378
12.9854373,77.6054639
12.9826975,77.6018764
12.98264,77.6020373
12.9826008,77.6021849
13.0085973,77.5691314
12.9731467,77.6468775
12.971684,77.6432709
12.9725701,77.6432381
13.0048994,77.5537963
13.0049061,77.5538074
13.0023649,77.5532003
13.0023728,77.5532037
13.0001781,77.5527005
13.0001954,77.5527065
12.9984818,77.5528698
12.9984749,77.5528731
12.9981064,77.5530005
12.9979666,77.5524735
12.9979451,77.5524741
12.9993429,77.5490362
12.9992756,77.5500466
12.9992959,77.5500409
12.9275749,77.6210695
12.9275765,77.6210612
12.9209247,77.6659042
12.9838175,77.6060868
12.9837462,77.6066179
12.9829517,77.6063161
12.9826903,77.6070397
13.0043954,77.5529267
13.0044043,77.5529315
13.004395,77.5529362
13.0042754,77.5519631
13.0042714,77.551969
13.0041952,77.5511664
13.0042041,77.5511713
13.0041948,77.551176
12.9998788,77.549631
12.9998695,77.5496319
12.999873,77.5496221
12.9199823,77.5760624
12.9199653,77.5760584
12.9199653,77.5760584
12.9207396,77.5743224
12.9207396,77.5743224
12.9207396,77.5743224
12.927267,77.5770133
12.92074,77.5743292
12.9308391,77.5760839
12.9309644,77.576208
12.9330538,77.5755323
12.9405384,77.5770732
12.9405384,77.5770732
12.9406014,77.5793126
12.9405466,77.5799428
12.9436844,77.5799668
12.9436977,77.5801373
12.9436336,77.5814628
12.9435523,77.5827638
12.9435523,77.5827638
12.9461288,77.5879585
12.9552545,77.5918935
12.9600483,77.5935968
12.9719464,77.6069888
12.9719516,77.607035
12.9118138,77.6497237
12.906568,77.629479
12.8772701,77.6475558
12.8772741,77.6475377
12.8772551,77.6475598
12.8772734,77.6475766
12.8772937,77.6475631
13.0797617,77.4243906
13.0944906,77.3894455
13.0945011,77.3894615
12.9198808,77.5757076
12.9217866,77.5760904
12.9217907,77.5760827
12.9217907,77.5760827
12.9876707,77.618715
12.9876345,77.6187845
12.978171,77.5842762
12.9759536,77.5874152
12.9657684,77.5925435
12.9821003,77.5666107
12.9685723,77.6142722
12.9874778,77.5559798
12.9874929,77.5559818
12.9901835,77.5508273
12.9901848,77.5508407
12.9961359,77.5508581
12.8446002,77.6742943
12.8446002,77.6742943
12.8472665,77.6739767
12.8485484,77.6771083
12.8472665,77.6739767
12.8487249,77.6774839
12.8488105,77.6777647
